binary,start,end,name
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198448,4198454,free
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198464,4198470,puts
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198480,4198486,calloc
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4198496,4199130,FUN_00401060
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199136,4199170,entry
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199184,4199185,FUN_00401310
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199200,4199233,FUN_00401320
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199248,4199297,FUN_00401350
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199312,4199345,_FINI_0
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199360,4199366,_INIT_0
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199392,4199499,FUN_004013e0
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199504,4199935,FUN_00401450
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199936,4199981,FUN_00401600
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4199984,4200257,FUN_00401630
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4200272,4200337,FUN_00401750
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4200340,4200349,_DT_FINI
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4214784,4214785,free
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4214792,4214793,__libc_start_main
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4214800,4214801,puts
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4214808,4214809,calloc
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3_stripped,4214816,4214817,__gmon_start__
