binary,start,end,name
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198448,4198454,fclose
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198464,4198470,ctime
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198480,4198486,fgetc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198496,4198502,fputc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198512,4198518,putc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198528,4198534,fprintf
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198544,4198550,time
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198560,4198566,fopen
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198576,4198885,FUN_004010b0
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198896,4198930,entry
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198944,4198945,FUN_00401220
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4198960,4198993,FUN_00401230
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4199008,4199057,FUN_00401260
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4199072,4199105,_FINI_0
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4199120,4199126,_INIT_0
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4199128,4199137,_DT_FINI
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214792,4214793,fclose
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214800,4214801,ctime
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214808,4214809,fgetc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214816,4214817,fputc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214824,4214825,putc
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214832,4214833,fprintf
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214840,4214841,__gmon_start__
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214848,4214849,time
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line_stripped,4214856,4214857,fopen
