binary,start,end,name
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198448,4198454,puts
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198464,4198484,FUN_00401040
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198496,4198530,entry
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198544,4198545,FUN_00401090
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198560,4198593,FUN_004010a0
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198608,4198657,FUN_004010d0
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198672,4198705,_FINI_0
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198720,4198726,_INIT_0
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4198728,4198737,_DT_FINI
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4214792,4214793,puts
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii_stripped,4214800,4214801,__gmon_start__
