binary,start,end,name
hello_stripped,4198400,4198423,_DT_INIT
hello_stripped,4198432,4198444,FUN_00401020
hello_stripped,4198448,4198454,printf
hello_stripped,4198464,4198491,FUN_00401040
hello_stripped,4198496,4198530,entry
hello_stripped,4198544,4198545,FUN_00401090
hello_stripped,4198560,4198593,FUN_004010a0
hello_stripped,4198608,4198657,FUN_004010d0
hello_stripped,4198672,4198705,_FINI_0
hello_stripped,4198720,4198726,_INIT_0
hello_stripped,4198728,4198737,_DT_FINI
hello_stripped,4214784,4214785,__libc_start_main
hello_stripped,4214792,4214793,printf
hello_stripped,4214800,4214801,__gmon_start__
