threshold	mode	macro_p	macro_r	macro_f1
0.25	v03_filtered	0.739	0.906	0.813
0.30	v03_filtered	0.781	0.906	0.836
0.33	v03_filtered	0.781	0.906	0.836
0.35	v03_filtered	0.781	0.906	0.836
0.40	v03_filtered	0.889	0.801	0.839
0.45	v03_filtered	0.909	0.726	0.803
0.55	v03_filtered	0.958	0.587	0.724
0.25	v03_raw	0.739	0.906	0.813
0.30	v03_raw	0.781	0.906	0.836
0.33	v03_raw	0.781	0.906	0.836
0.35	v03_raw	0.781	0.906	0.836
0.40	v03_raw	0.889	0.801	0.839
0.45	v03_raw	0.909	0.726	0.803
0.55	v03_raw	0.958	0.587	0.724
