version	mode	threshold	MacroP	MacroR	MacroF1
v05_logreg	filtered	0.20	0.578	0.936	0.712
v05_logreg	filtered	0.25	0.633	0.936	0.755
v05_logreg	filtered	0.30	0.640	0.906	0.750
v05_logreg	filtered	0.33	0.680	0.906	0.776
v05_logreg	filtered	0.35	0.723	0.873	0.787
v05_logreg	filtered	0.40	0.805	0.842	0.819
v05_logreg	filtered	0.45	0.933	0.734	0.815
v05_logreg	filtered	0.50	0.958	0.670	0.779
v05_logreg	filtered	0.55	0.944	0.452	0.609
v05_logreg	raw	0.20	0.578	0.936	0.712
v05_logreg	raw	0.25	0.633	0.936	0.755
v05_logreg	raw	0.30	0.640	0.906	0.750
v05_logreg	raw	0.33	0.680	0.906	0.776
v05_logreg	raw	0.35	0.723	0.873	0.787
v05_logreg	raw	0.40	0.805	0.842	0.819
v05_logreg	raw	0.45	0.933	0.734	0.815
v05_logreg	raw	0.50	0.958	0.670	0.779
v05_logreg	raw	0.55	0.944	0.452	0.609
v05_rf	filtered	0.20	0.682	0.936	0.781
v05_rf	filtered	0.25	0.775	0.936	0.843
v05_rf	filtered	0.30	0.789	0.936	0.853
v05_rf	filtered	0.33	0.805	0.936	0.863
v05_rf	filtered	0.35	0.878	0.936	0.902
v05_rf	filtered	0.40	0.878	0.936	0.902
v05_rf	filtered	0.45	0.878	0.936	0.902
v05_rf	filtered	0.50	0.903	0.936	0.915
v05_rf	filtered	0.55	0.903	0.936	0.915
v05_rf	raw	0.20	0.682	0.936	0.781
v05_rf	raw	0.25	0.775	0.936	0.843
v05_rf	raw	0.30	0.789	0.936	0.853
v05_rf	raw	0.33	0.805	0.936	0.863
v05_rf	raw	0.35	0.878	0.936	0.902
v05_rf	raw	0.40	0.878	0.936	0.902
v05_rf	raw	0.45	0.878	0.936	0.902
v05_rf	raw	0.50	0.903	0.936	0.915
v05_rf	raw	0.55	0.903	0.936	0.915
v05_xgb	filtered	0.20	0.775	0.936	0.843
v05_xgb	filtered	0.25	0.789	0.936	0.853
v05_xgb	filtered	0.30	0.781	0.906	0.836
v05_xgb	filtered	0.33	0.768	0.842	0.799
v05_xgb	filtered	0.35	0.768	0.842	0.799
v05_xgb	filtered	0.40	0.761	0.801	0.778
v05_xgb	filtered	0.45	0.798	0.801	0.798
v05_xgb	filtered	0.50	0.798	0.801	0.798
v05_xgb	filtered	0.55	0.798	0.801	0.798
v05_xgb	raw	0.20	0.775	0.936	0.843
v05_xgb	raw	0.25	0.789	0.936	0.853
v05_xgb	raw	0.30	0.781	0.906	0.836
v05_xgb	raw	0.33	0.768	0.842	0.799
v05_xgb	raw	0.35	0.768	0.842	0.799
v05_xgb	raw	0.40	0.761	0.801	0.778
v05_xgb	raw	0.45	0.798	0.801	0.798
v05_xgb	raw	0.50	0.798	0.801	0.798
v05_xgb	raw	0.55	0.798	0.801	0.798
v05_rf_O1	filtered	best	0.900	0.812	0.852
v05_rf_O2	filtered	best	0.903	0.936	0.915
