name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06_logreg_O3_	0.20	0.455	0.823	0.566
summary_thr_v06_logreg_O3_	0.25	0.485	0.677	0.548
summary_thr_v06_logreg_O3_	0.30	0.500	0.581	0.522
summary_thr_v06_logreg_O3_	0.33	0.511	0.436	0.460
summary_thr_v06_logreg_O3_	0.35	0.520	0.426	0.458
summary_thr_v06_logreg_O3_	0.40	0.502	0.334	0.394
summary_thr_v06_logreg_O3_	0.45	0.522	0.314	0.387
summary_thr_v06_logreg_O3_	0.50	0.520	0.286	0.364
summary_thr_v06_logreg_O3_	0.55	0.533	0.271	0.355
summary_thr_v06_rf_O3_	0.20	0.520	0.906	0.636
summary_thr_v06_rf_O3_	0.25	0.523	0.902	0.638
summary_thr_v06_rf_O3_	0.30	0.523	0.901	0.638
summary_thr_v06_rf_O3_	0.33	0.524	0.901	0.638
summary_thr_v06_rf_O3_	0.35	0.524	0.900	0.638
summary_thr_v06_rf_O3_	0.40	0.525	0.900	0.638
summary_thr_v06_rf_O3_	0.45	0.525	0.899	0.638
summary_thr_v06_rf_O3_	0.50	0.525	0.898	0.638
summary_thr_v06_rf_O3_	0.55	0.525	0.897	0.638
summary_thr_v06_xgb_O3_	0.20	0.498	0.870	0.608
summary_thr_v06_xgb_O3_	0.25	0.511	0.832	0.609
summary_thr_v06_xgb_O3_	0.30	0.541	0.830	0.632
summary_thr_v06_xgb_O3_	0.33	0.547	0.828	0.636
summary_thr_v06_xgb_O3_	0.35	0.549	0.827	0.638
summary_thr_v06_xgb_O3_	0.40	0.564	0.818	0.645
summary_thr_v06_xgb_O3_	0.45	0.580	0.675	0.598
summary_thr_v06_xgb_O3_	0.50	0.670	0.610	0.620
summary_thr_v06_xgb_O3_	0.55	0.743	0.587	0.641
