version	mode	threshold	MacroP	MacroR	MacroF1
v06_logreg	filtered	0.20	0.455	0.823	0.566
v06_logreg	filtered	0.25	0.485	0.677	0.548
v06_logreg	filtered	0.30	0.500	0.581	0.522
v06_logreg	filtered	0.33	0.511	0.436	0.460
v06_logreg	filtered	0.35	0.520	0.426	0.458
v06_logreg	filtered	0.40	0.502	0.334	0.394
v06_logreg	filtered	0.45	0.522	0.314	0.387
v06_logreg	filtered	0.50	0.520	0.286	0.364
v06_logreg	filtered	0.55	0.533	0.271	0.355
v06_rf	filtered	0.20	0.520	0.906	0.636
v06_rf	filtered	0.25	0.523	0.902	0.638
v06_rf	filtered	0.30	0.523	0.901	0.638
v06_rf	filtered	0.33	0.524	0.901	0.638
v06_rf	filtered	0.35	0.524	0.900	0.638
v06_rf	filtered	0.40	0.525	0.900	0.638
v06_rf	filtered	0.45	0.525	0.899	0.638
v06_rf	filtered	0.50	0.525	0.898	0.638
v06_rf	filtered	0.55	0.525	0.897	0.638
v06_xgb	filtered	0.20	0.498	0.870	0.608
v06_xgb	filtered	0.25	0.511	0.832	0.609
v06_xgb	filtered	0.30	0.541	0.830	0.632
v06_xgb	filtered	0.33	0.547	0.828	0.636
v06_xgb	filtered	0.35	0.549	0.827	0.638
v06_xgb	filtered	0.40	0.564	0.818	0.645
v06_xgb	filtered	0.45	0.580	0.675	0.598
v06_xgb	filtered	0.50	0.670	0.610	0.620
v06_xgb	filtered	0.55	0.743	0.587	0.641
