name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06b_logreg_O3_	0.20	0.239	0.912	0.366
summary_thr_v06b_logreg_O3_	0.25	0.278	0.912	0.410
summary_thr_v06b_logreg_O3_	0.30	0.358	0.911	0.495
summary_thr_v06b_logreg_O3_	0.33	0.374	0.911	0.509
summary_thr_v06b_logreg_O3_	0.35	0.383	0.910	0.518
summary_thr_v06b_logreg_O3_	0.40	0.426	0.907	0.559
summary_thr_v06b_logreg_O3_	0.45	0.435	0.906	0.567
summary_thr_v06b_logreg_O3_	0.50	0.450	0.892	0.577
summary_thr_v06b_logreg_O3_	0.55	0.481	0.818	0.588
summary_thr_v06b_rf_O3_	0.20	0.520	0.906	0.636
summary_thr_v06b_rf_O3_	0.25	0.523	0.903	0.639
summary_thr_v06b_rf_O3_	0.30	0.524	0.901	0.638
summary_thr_v06b_rf_O3_	0.33	0.524	0.900	0.638
summary_thr_v06b_rf_O3_	0.35	0.524	0.900	0.638
summary_thr_v06b_rf_O3_	0.40	0.525	0.899	0.638
summary_thr_v06b_rf_O3_	0.45	0.524	0.898	0.638
summary_thr_v06b_rf_O3_	0.50	0.525	0.898	0.638
summary_thr_v06b_rf_O3_	0.55	0.526	0.897	0.639
summary_thr_v06b_xgb_O3_	0.20	0.382	0.913	0.514
summary_thr_v06b_xgb_O3_	0.25	0.407	0.913	0.538
summary_thr_v06b_xgb_O3_	0.30	0.415	0.912	0.546
summary_thr_v06b_xgb_O3_	0.33	0.417	0.911	0.547
summary_thr_v06b_xgb_O3_	0.35	0.421	0.911	0.551
summary_thr_v06b_xgb_O3_	0.40	0.423	0.910	0.553
summary_thr_v06b_xgb_O3_	0.45	0.435	0.910	0.565
summary_thr_v06b_xgb_O3_	0.50	0.440	0.909	0.569
summary_thr_v06b_xgb_O3_	0.55	0.511	0.908	0.628
