name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06c_rf_O3_	0.15	0.508	0.908	0.626
summary_thr_v06c_rf_O3_	0.18	0.516	0.906	0.633
summary_thr_v06c_rf_O3_	0.20	0.519	0.906	0.636
summary_thr_v06c_rf_O3_	0.22	0.521	0.904	0.637
summary_thr_v06c_rf_O3_	0.25	0.523	0.902	0.638
summary_thr_v06c_rf_O3_	0.28	0.524	0.901	0.638
summary_thr_v06c_rf_O3_	0.30	0.524	0.901	0.638
summary_thr_v06c_rf_O3_	0.35	0.524	0.899	0.638
summary_thr_v06c_rf_O3_	0.40	0.525	0.899	0.638
summary_thr_v06c_rf_O3_	0.45	0.525	0.898	0.638
summary_thr_v06c_rf_O3_	0.50	0.525	0.898	0.638
summary_thr_v06c_rf_O3_	0.55	0.526	0.897	0.639
summary_thr_v06c_xgb_O3_	0.15	0.403	0.912	0.536
summary_thr_v06c_xgb_O3_	0.18	0.411	0.912	0.542
summary_thr_v06c_xgb_O3_	0.20	0.413	0.912	0.544
summary_thr_v06c_xgb_O3_	0.22	0.416	0.911	0.547
summary_thr_v06c_xgb_O3_	0.25	0.418	0.910	0.549
summary_thr_v06c_xgb_O3_	0.28	0.421	0.910	0.551
summary_thr_v06c_xgb_O3_	0.30	0.422	0.910	0.552
summary_thr_v06c_xgb_O3_	0.35	0.489	0.910	0.609
summary_thr_v06c_xgb_O3_	0.40	0.506	0.909	0.623
summary_thr_v06c_xgb_O3_	0.45	0.507	0.908	0.625
summary_thr_v06c_xgb_O3_	0.50	0.508	0.907	0.626
summary_thr_v06c_xgb_O3_	0.55	0.510	0.907	0.627
