name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06d_rf_O3_	0.15	0.508	0.908	0.626
summary_thr_v06d_rf_O3_	0.18	0.511	0.908	0.628
summary_thr_v06d_rf_O3_	0.20	0.512	0.908	0.630
summary_thr_v06d_rf_O3_	0.22	0.516	0.907	0.633
summary_thr_v06d_rf_O3_	0.25	0.517	0.906	0.633
summary_thr_v06d_rf_O3_	0.28	0.517	0.905	0.633
summary_thr_v06d_rf_O3_	0.30	0.517	0.904	0.632
summary_thr_v06d_rf_O3_	0.35	0.516	0.903	0.632
summary_thr_v06d_rf_O3_	0.40	0.518	0.903	0.633
summary_thr_v06d_rf_O3_	0.45	0.517	0.902	0.632
summary_thr_v06d_rf_O3_	0.50	0.518	0.902	0.632
summary_thr_v06d_rf_O3_	0.55	0.518	0.901	0.632
summary_thr_v06d_xgb_O3_	0.15	0.350	0.913	0.482
summary_thr_v06d_xgb_O3_	0.18	0.354	0.912	0.486
summary_thr_v06d_xgb_O3_	0.20	0.373	0.912	0.503
summary_thr_v06d_xgb_O3_	0.22	0.380	0.912	0.510
summary_thr_v06d_xgb_O3_	0.25	0.386	0.912	0.516
summary_thr_v06d_xgb_O3_	0.28	0.396	0.911	0.528
summary_thr_v06d_xgb_O3_	0.30	0.399	0.911	0.530
summary_thr_v06d_xgb_O3_	0.35	0.408	0.910	0.540
summary_thr_v06d_xgb_O3_	0.40	0.427	0.910	0.557
summary_thr_v06d_xgb_O3_	0.45	0.433	0.910	0.563
summary_thr_v06d_xgb_O3_	0.50	0.436	0.910	0.565
summary_thr_v06d_xgb_O3_	0.55	0.504	0.909	0.622
