name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06f_rf_O3_	0.15	0.279	0.714	0.384
summary_thr_v06f_rf_O3_	0.18	0.323	0.709	0.426
summary_thr_v06f_rf_O3_	0.20	0.367	0.704	0.465
summary_thr_v06f_rf_O3_	0.22	0.391	0.698	0.485
summary_thr_v06f_rf_O3_	0.25	0.497	0.692	0.557
summary_thr_v06f_rf_O3_	0.28	0.556	0.684	0.596
summary_thr_v06f_rf_O3_	0.30	0.604	0.631	0.598
summary_thr_v06f_rf_O3_	0.35	0.667	0.581	0.606
summary_thr_v06f_rf_O3_	0.40	0.703	0.431	0.524
summary_thr_v06f_rf_O3_	0.45	0.761	0.426	0.537
summary_thr_v06f_rf_O3_	0.50	0.794	0.425	0.547
summary_thr_v06f_rf_O3_	0.55	0.816	0.418	0.548
summary_thr_v06f_xgb_O3_	0.15	0.742	0.463	0.563
summary_thr_v06f_xgb_O3_	0.18	0.751	0.458	0.563
summary_thr_v06f_xgb_O3_	0.20	0.760	0.456	0.564
summary_thr_v06f_xgb_O3_	0.22	0.763	0.451	0.561
summary_thr_v06f_xgb_O3_	0.25	0.754	0.405	0.521
summary_thr_v06f_xgb_O3_	0.28	0.752	0.392	0.510
summary_thr_v06f_xgb_O3_	0.30	0.741	0.360	0.479
summary_thr_v06f_xgb_O3_	0.35	0.737	0.336	0.457
summary_thr_v06f_xgb_O3_	0.40	0.750	0.331	0.455
summary_thr_v06f_xgb_O3_	0.45	0.752	0.329	0.453
summary_thr_v06f_xgb_O3_	0.50	0.752	0.324	0.449
summary_thr_v06f_xgb_O3_	0.55	0.752	0.322	0.447
summary_thr_v06f_logreg_O3_	0.15	0.467	0.452	0.446
summary_thr_v06f_logreg_O3_	0.18	0.572	0.441	0.480
summary_thr_v06f_logreg_O3_	0.20	0.582	0.437	0.483
summary_thr_v06f_logreg_O3_	0.22	0.588	0.432	0.482
summary_thr_v06f_logreg_O3_	0.25	0.596	0.424	0.479
summary_thr_v06f_logreg_O3_	0.28	0.600	0.408	0.470
summary_thr_v06f_logreg_O3_	0.30	0.598	0.395	0.461
summary_thr_v06f_logreg_O3_	0.35	0.615	0.372	0.450
summary_thr_v06f_logreg_O3_	0.40	0.570	0.268	0.353
summary_thr_v06f_logreg_O3_	0.45	0.561	0.233	0.319
summary_thr_v06f_logreg_O3_	0.50	0.509	0.189	0.266
summary_thr_v06f_logreg_O3_	0.55	0.420	0.140	0.202
