file	TP	FP	FN	P	R	F1	mean_err	median_err
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	16	6	6	0.727	0.727	0.727	0.0	0.0
rosetta_v06_00120_Averages-Median_averages-median-1	8	3	4	0.727	0.667	0.696	0.0	0.0
rosetta_v06_00014_24-game_24-game	18	26	8	0.409	0.692	0.514	0.0	0.0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	7	15	5	0.318	0.583	0.412	0.0	0.0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	10	9	4	0.526	0.714	0.606	0.0	0.0
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	11	16	2	0.407	0.846	0.550	0.7	0.0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	5	3	6	0.625	0.455	0.526	0.0	0.0
rosetta_v06_00043_Ackermann-function_ackermann-function-1	8	21	3	0.276	0.727	0.400	0.0	0.0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	11	47	13	0.190	0.458	0.268	1.1	0.0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	8	24	6	0.250	0.571	0.348	0.5	0.0
rosetta_v06_00924_Munching-squares_munching-squares	8	10	3	0.444	0.727	0.552	0.0	0.0
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	12	45	3	0.211	0.800	0.333	0.0	0.0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	9	9	6	0.500	0.600	0.545	0.7	0.0
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	7	7	3	0.500	0.700	0.583	1.1	0.0
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	7	3	3	0.700	0.700	0.700	1.1	0.0
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	8	31	7	0.205	0.533	0.296	0.0	0.0
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	4	1	6	0.800	0.400	0.533	0.0	0.0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	10	11	3	0.476	0.769	0.588	0.0	0.0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	11	30	3	0.268	0.786	0.400	0.0	0.0
rosetta_v06_00866_Mayan-numerals_mayan-numerals	10	15	3	0.400	0.769	0.526	0.0	0.0
