file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	5	0	0.815	1.000	0.898
rosetta_v06_00120_Averages-Median_averages-median-1	11	2	1	0.846	0.917	0.880
rosetta_v06_00014_24-game_24-game	24	49	3	0.329	0.889	0.480
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	16	1	0.407	0.917	0.564
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	11	1	0.542	0.929	0.684
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	12	1	0.500	0.923	0.649
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	9	2	2	0.818	0.818	0.818
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	23	1	0.303	0.909	0.455
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	19	42	5	0.311	0.792	0.447
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	16	1	0.448	0.929	0.605
rosetta_v06_00924_Munching-squares_munching-squares	10	11	1	0.476	0.909	0.625
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	12	41	1	0.226	0.923	0.364
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	21	1	0.400	0.933	0.560
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	8	1	0.529	0.900	0.667
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	2	1	0.818	0.900	0.857
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	16	1	0.467	0.933	0.622
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	2	1	0.818	0.900	0.857
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	10	1	0.545	0.923	0.686
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	14	1	0.481	0.929	0.634
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	15	1	0.444	0.923	0.600
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	10	5	1	0.667	0.909	0.769
rosetta_v06_01498_Topological-sort_topological-sort-1	13	12	1	0.520	0.929	0.667
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	14	1	0.417	0.909	0.571
rosetta_v06_00262_Combinations_combinations-2	10	14	1	0.417	0.909	0.571
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	13	1	0.458	0.917	0.611
rosetta_v06_00141_Best-shuffle_best-shuffle-1	12	25	2	0.324	0.857	0.471
rosetta_v06_00995_Ordered-words_ordered-words-3	11	13	1	0.458	0.917	0.611
