file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	4	0	18	1.000	0.182	0.308
rosetta_v06_00120_Averages-Median_averages-median-1	8	1	4	0.889	0.667	0.762
rosetta_v06_00014_24-game_24-game	19	28	7	0.404	0.731	0.521
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	7	12	5	0.368	0.583	0.452
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	10	3	4	0.769	0.714	0.741
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	7	8	6	0.467	0.538	0.500
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	7	1	4	0.875	0.636	0.737
rosetta_v06_00043_Ackermann-function_ackermann-function-1	7	6	4	0.538	0.636	0.583
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	11	29	13	0.275	0.458	0.344
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	10	10	4	0.500	0.714	0.588
rosetta_v06_00924_Munching-squares_munching-squares	7	4	4	0.636	0.636	0.636
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	11	22	4	0.333	0.733	0.458
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	10	5	5	0.667	0.667	0.667
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	6	4	4	0.600	0.600	0.600
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	6	1	4	0.857	0.600	0.706
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	11	21	4	0.344	0.733	0.468
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	6	1	4	0.857	0.600	0.706
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	8	3	5	0.727	0.615	0.667
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	10	17	4	0.370	0.714	0.488
rosetta_v06_00866_Mayan-numerals_mayan-numerals	9	6	4	0.600	0.692	0.643
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	7	2	4	0.778	0.636	0.700
rosetta_v06_01498_Topological-sort_topological-sort-1	10	17	4	0.370	0.714	0.488
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	6	7	5	0.462	0.545	0.500
rosetta_v06_00262_Combinations_combinations-2	7	5	4	0.583	0.636	0.609
rosetta_v06_00257_Colorful-numbers_colorful-numbers	8	12	4	0.400	0.667	0.500
rosetta_v06_00141_Best-shuffle_best-shuffle-1	8	7	8	0.533	0.500	0.516
rosetta_v06_00995_Ordered-words_ordered-words-3	8	4	4	0.667	0.667	0.667
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	7	5	4	0.583	0.636	0.609
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	7	2	4	0.778	0.636	0.700
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	6	3	3	0.667	0.667	0.667
rosetta_v06_00629_Guess-the-number_guess-the-number	6	1	4	0.857	0.600	0.706
rosetta_v06_00039_Accumulator-factory_accumulator-factory	6	0	5	1.000	0.545	0.706
rosetta_v06_00001_100-doors_100-doors-1	6	1	4	0.857	0.600	0.706
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	11	12	5	0.478	0.688	0.564
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	6	1	4	0.857	0.600	0.706
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	7	7	5	0.500	0.583	0.538
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	7	2	4	0.778	0.636	0.700
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	6	2	4	0.750	0.600	0.667
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	18	11	10	0.621	0.643	0.632
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	5	1	5	0.833	0.500	0.625
rosetta_v06_00611_Gotchas_gotchas-8	4	0	3	1.000	0.571	0.727
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	10	16	5	0.385	0.667	0.488
rosetta_v06_00217_Call-an-object-method_call-an-object-method	7	2	4	0.778	0.636	0.700
rosetta_v06_01039_Pells-equation_pells-equation	9	2	4	0.818	0.692	0.750
rosetta_v06_00365_Descending-primes_descending-primes	6	4	5	0.600	0.545	0.571
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	6	1	4	0.857	0.600	0.706
rosetta_v06_00006_100-prisoners_100-prisoners	8	9	6	0.471	0.571	0.516
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	7	1	4	0.875	0.636	0.737
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	12	10	5	0.545	0.706	0.615
rosetta_v06_01312_Sockets_sockets	6	2	4	0.750	0.600	0.667
rosetta_v06_01396_String-comparison_string-comparison-2	8	2	4	0.800	0.667	0.727
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	6	3	4	0.667	0.600	0.632
