file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	27	0	0.449	1.000	0.620
rosetta_v06_00120_Averages-Median_averages-median-1	11	19	1	0.367	0.917	0.524
rosetta_v06_00014_24-game_24-game	25	151	1	0.142	0.962	0.248
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	94	1	0.105	0.917	0.188
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	40	1	0.245	0.929	0.388
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	79	1	0.132	0.923	0.231
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	10	14	1	0.417	0.909	0.571
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	87	1	0.103	0.909	0.185
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	23	234	1	0.089	0.958	0.164
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	82	1	0.137	0.929	0.239
rosetta_v06_00924_Munching-squares_munching-squares	10	37	1	0.213	0.909	0.345
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	169	1	0.077	0.933	0.141
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	71	1	0.165	0.933	0.280
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	25	1	0.265	0.900	0.409
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	21	1	0.300	0.900	0.450
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	231	1	0.057	0.933	0.108
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	13	1	0.409	0.900	0.563
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	55	1	0.179	0.923	0.300
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	195	1	0.062	0.929	0.117
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	57	1	0.174	0.923	0.293
