file	TP	FP	FN	P	R	F1
hello	9	2	1	0.818	0.900	0.857
mathlib	8	5	0	0.615	1.000	0.762
rosetta_v06_00001_100-doors_100-doors-1	9	6	1	0.600	0.900	0.720
rosetta_v06_00014_24-game_24-game	23	59	3	0.280	0.885	0.426
rosetta_v06_00039_Accumulator-factory_accumulator-factory	9	1	2	0.900	0.818	0.857
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	28	1	0.263	0.909	0.408
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	5	0	0.815	1.000	0.898
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	8	6	1	0.571	0.889	0.696
rosetta_v06_00120_Averages-Median_averages-median-1	11	2	1	0.846	0.917	0.880
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	25	1	0.342	0.929	0.500
rosetta_v06_00141_Best-shuffle_best-shuffle-1	11	32	5	0.256	0.688	0.373
rosetta_v06_00217_Call-an-object-method_call-an-object-method	10	5	1	0.667	0.909	0.769
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	25	1	0.306	0.917	0.458
rosetta_v06_00262_Combinations_combinations-2	10	21	1	0.323	0.909	0.476
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	9	4	1	0.692	0.900	0.783
rosetta_v06_00365_Descending-primes_descending-primes	10	16	1	0.385	0.909	0.541
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	13	1	0.480	0.923	0.632
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	28	1	0.300	0.923	0.453
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	10	5	1	0.667	0.909	0.769
rosetta_v06_00611_Gotchas_gotchas-8	7	1	0	0.875	1.000	0.933
rosetta_v06_00629_Guess-the-number_guess-the-number	9	4	1	0.692	0.900	0.783
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	2	1	0.818	0.900	0.857
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	20	97	4	0.171	0.833	0.284
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	8	1	0.529	0.900	0.667
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	11	24	1	0.314	0.917	0.468
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	20	1	0.375	0.923	0.533
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	24	1	0.368	0.933	0.528
rosetta_v06_00924_Munching-squares_munching-squares	10	11	1	0.476	0.909	0.625
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	14	1	0.417	0.909	0.571
rosetta_v06_00995_Ordered-words_ordered-words-3	11	13	1	0.458	0.917	0.611
rosetta_v06_01039_Pells-equation_pells-equation	12	8	1	0.600	0.923	0.727
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	75	1	0.157	0.933	0.269
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	15	25	1	0.375	0.938	0.536
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	9	2	2	0.818	0.818	0.818
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	8	1	0.619	0.929	0.743
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	10	5	1	0.667	0.909	0.769
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	14	50	1	0.219	0.933	0.354
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	66	1	0.165	0.929	0.280
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	9	6	1	0.600	0.900	0.720
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	9	5	2	0.643	0.818	0.720
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	68	1	0.171	0.933	0.289
rosetta_v06_01498_Topological-sort_topological-sort-1	13	43	1	0.232	0.929	0.371
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	23	30	5	0.434	0.821	0.568
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	10	28	1	0.263	0.909	0.408
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	31	1	0.262	0.917	0.407
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	5	1	0.643	0.900	0.750
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	9	4	1	0.692	0.900	0.783
sort	10	5	1	0.667	0.909	0.769
