file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	6	0	0.786	1.000	0.880
rosetta_v06_00120_Averages-Median_averages-median-1	11	4	1	0.733	0.917	0.815
rosetta_v06_00014_24-game_24-game	23	75	3	0.235	0.885	0.371
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	37	1	0.229	0.917	0.367
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	13	1	0.500	0.929	0.650
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	40	1	0.231	0.923	0.369
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	10	4	1	0.714	0.909	0.800
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	36	1	0.217	0.909	0.351
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	21	128	3	0.141	0.875	0.243
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	32	1	0.289	0.929	0.441
rosetta_v06_00924_Munching-squares_munching-squares	10	16	1	0.385	0.909	0.541
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	105	1	0.118	0.933	0.209
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	27	1	0.341	0.933	0.500
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	11	1	0.450	0.900	0.600
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	7	1	0.562	0.900	0.692
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	98	1	0.125	0.933	0.220
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	4	1	0.692	0.900	0.783
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	23	1	0.343	0.923	0.500
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	76	1	0.146	0.929	0.252
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	27	1	0.308	0.923	0.462
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	10	6	1	0.625	0.909	0.741
rosetta_v06_01498_Topological-sort_topological-sort-1	13	75	1	0.148	0.929	0.255
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	20	1	0.333	0.909	0.488
rosetta_v06_00262_Combinations_combinations-2	10	32	1	0.238	0.909	0.377
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	49	1	0.183	0.917	0.306
rosetta_v06_00141_Best-shuffle_best-shuffle-1	12	49	4	0.197	0.750	0.312
rosetta_v06_00995_Ordered-words_ordered-words-3	11	18	1	0.379	0.917	0.537
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	10	33	1	0.233	0.909	0.370
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	10	8	1	0.556	0.909	0.690
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	8	9	1	0.471	0.889	0.615
rosetta_v06_00629_Guess-the-number_guess-the-number	9	6	1	0.600	0.900	0.720
rosetta_v06_00039_Accumulator-factory_accumulator-factory	10	2	1	0.833	0.909	0.870
rosetta_v06_00001_100-doors_100-doors-1	9	8	1	0.529	0.900	0.667
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	15	37	1	0.288	0.938	0.441
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	9	6	1	0.600	0.900	0.720
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	11	32	1	0.256	0.917	0.400
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	10	9	1	0.526	0.909	0.667
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	9	6	1	0.600	0.900	0.720
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	23	46	5	0.333	0.821	0.474
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	9	9	1	0.500	0.900	0.643
rosetta_v06_00611_Gotchas_gotchas-8	7	2	0	0.778	1.000	0.875
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	14	60	1	0.189	0.933	0.315
rosetta_v06_00217_Call-an-object-method_call-an-object-method	10	7	1	0.588	0.909	0.714
rosetta_v06_01039_Pells-equation_pells-equation	12	11	1	0.522	0.923	0.667
rosetta_v06_00365_Descending-primes_descending-primes	10	22	1	0.312	0.909	0.465
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	9	5	1	0.643	0.900	0.750
rosetta_v06_00006_100-prisoners_100-prisoners	13	34	1	0.277	0.929	0.426
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	10	6	1	0.625	0.909	0.741
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	16	45	1	0.262	0.941	0.410
rosetta_v06_01312_Sockets_sockets	9	8	1	0.529	0.900	0.667
rosetta_v06_01396_String-comparison_string-comparison-2	11	16	1	0.407	0.917	0.564
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	9	6	1	0.600	0.900	0.720
rosetta_v06_01477_Text-processing-2_text-processing-2	11	24	1	0.314	0.917	0.468
rosetta_v06_00023_A+B_a+b-3	9	6	1	0.600	0.900	0.720
rosetta_v06_01133_Pseudo-random-numbers-Xorshift-star_pseudo-random-numbers-xorshift-star	12	7	1	0.632	0.923	0.750
rosetta_v06_00958_Non-continuous-subsequences_non-continuous-subsequences-3	11	16	1	0.407	0.917	0.564
rosetta_v06_01220_Rosetta-Code-Rank-languages-by-popularity_rosetta-code-rank-languages-by-popularity-1	13	20	1	0.394	0.929	0.553
rosetta_v06_00781_List-rooted-trees_list-rooted-trees	14	21	1	0.400	0.933	0.560
rosetta_v06_00788_Logistic-curve-fitting-in-epidemiology_logistic-curve-fitting-in-epidemiology	12	13	1	0.480	0.923	0.632
