file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	5	0	0.815	1.000	0.898
rosetta_v06_00120_Averages-Median_averages-median-1	11	2	1	0.846	0.917	0.880
rosetta_v06_00014_24-game_24-game	23	63	3	0.267	0.885	0.411
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	36	1	0.234	0.917	0.373
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	9	1	0.591	0.929	0.722
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	31	1	0.279	0.923	0.429
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	9	2	2	0.818	0.818	0.818
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	34	1	0.227	0.909	0.364
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	20	101	4	0.165	0.833	0.276
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	27	1	0.325	0.929	0.481
rosetta_v06_00924_Munching-squares_munching-squares	10	11	1	0.476	0.909	0.625
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	82	1	0.146	0.933	0.252
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	24	1	0.368	0.933	0.528
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	8	1	0.529	0.900	0.667
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	5	1	0.643	0.900	0.750
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	92	1	0.132	0.933	0.231
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	2	1	0.818	0.900	0.857
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	13	1	0.480	0.923	0.632
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	70	1	0.157	0.929	0.268
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	21	1	0.364	0.923	0.522
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	10	5	1	0.667	0.909	0.769
rosetta_v06_01498_Topological-sort_topological-sort-1	13	50	1	0.206	0.929	0.338
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	14	1	0.417	0.909	0.571
rosetta_v06_00262_Combinations_combinations-2	10	21	1	0.323	0.909	0.476
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	30	1	0.268	0.917	0.415
rosetta_v06_00141_Best-shuffle_best-shuffle-1	12	33	4	0.267	0.750	0.393
rosetta_v06_00995_Ordered-words_ordered-words-3	11	15	1	0.423	0.917	0.579
