file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	15	0	0.595	1.000	0.746
rosetta_v06_00120_Averages-Median_averages-median-1	11	5	1	0.688	0.917	0.786
rosetta_v06_00014_24-game_24-game	24	98	2	0.197	0.923	0.324
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	48	1	0.186	0.917	0.310
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	17	1	0.433	0.929	0.591
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	50	1	0.194	0.923	0.320
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	10	4	1	0.714	0.909	0.800
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	43	1	0.189	0.909	0.312
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	22	185	2	0.106	0.917	0.190
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	50	1	0.206	0.929	0.338
rosetta_v06_00924_Munching-squares_munching-squares	10	19	1	0.345	0.909	0.500
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	122	1	0.103	0.933	0.185
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	34	1	0.292	0.933	0.444
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	9	12	1	0.429	0.900	0.581
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	9	8	1	0.529	0.900	0.667
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	136	1	0.093	0.933	0.170
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	9	4	1	0.692	0.900	0.783
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	35	1	0.255	0.923	0.400
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	117	1	0.100	0.929	0.181
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	35	1	0.255	0.923	0.400
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	10	10	1	0.500	0.909	0.645
rosetta_v06_01498_Topological-sort_topological-sort-1	13	97	1	0.118	0.929	0.210
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	25	1	0.286	0.909	0.435
rosetta_v06_00262_Combinations_combinations-2	10	39	1	0.204	0.909	0.333
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	71	1	0.134	0.917	0.234
rosetta_v06_00141_Best-shuffle_best-shuffle-1	12	68	4	0.150	0.750	0.250
rosetta_v06_00995_Ordered-words_ordered-words-3	11	22	1	0.333	0.917	0.489
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	10	38	1	0.208	0.909	0.339
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	10	12	1	0.455	0.909	0.606
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	8	11	1	0.421	0.889	0.571
rosetta_v06_00629_Guess-the-number_guess-the-number	9	8	1	0.529	0.900	0.667
rosetta_v06_00039_Accumulator-factory_accumulator-factory	10	3	1	0.769	0.909	0.833
rosetta_v06_00001_100-doors_100-doors-1	9	9	1	0.500	0.900	0.643
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	15	48	1	0.238	0.938	0.380
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	9	6	1	0.600	0.900	0.720
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	11	53	1	0.172	0.917	0.289
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	10	9	1	0.526	0.909	0.667
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	9	7	1	0.562	0.900	0.692
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	23	66	5	0.258	0.821	0.393
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	9	12	1	0.429	0.900	0.581
rosetta_v06_00611_Gotchas_gotchas-8	7	3	0	0.700	1.000	0.824
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	14	74	1	0.159	0.933	0.272
rosetta_v06_00217_Call-an-object-method_call-an-object-method	10	9	1	0.526	0.909	0.667
rosetta_v06_01039_Pells-equation_pells-equation	12	16	1	0.429	0.923	0.585
rosetta_v06_00365_Descending-primes_descending-primes	10	31	1	0.244	0.909	0.385
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	9	8	1	0.529	0.900	0.667
rosetta_v06_00006_100-prisoners_100-prisoners	13	56	1	0.188	0.929	0.313
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	10	10	1	0.500	0.909	0.645
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	16	73	1	0.180	0.941	0.302
rosetta_v06_01312_Sockets_sockets	9	9	1	0.500	0.900	0.643
rosetta_v06_01396_String-comparison_string-comparison-2	11	19	1	0.367	0.917	0.524
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	9	6	1	0.600	0.900	0.720
rosetta_v06_01477_Text-processing-2_text-processing-2	11	29	1	0.275	0.917	0.423
rosetta_v06_00023_A+B_a+b-3	9	6	1	0.600	0.900	0.720
rosetta_v06_01133_Pseudo-random-numbers-Xorshift-star_pseudo-random-numbers-xorshift-star	12	9	1	0.571	0.923	0.706
rosetta_v06_00958_Non-continuous-subsequences_non-continuous-subsequences-3	11	24	1	0.314	0.917	0.468
rosetta_v06_01220_Rosetta-Code-Rank-languages-by-popularity_rosetta-code-rank-languages-by-popularity-1	13	28	1	0.317	0.929	0.473
rosetta_v06_00781_List-rooted-trees_list-rooted-trees	14	34	1	0.292	0.933	0.444
rosetta_v06_00788_Logistic-curve-fitting-in-epidemiology_logistic-curve-fitting-in-epidemiology	12	17	1	0.414	0.923	0.571
rosetta_v06_00130_Babbage-problem_babbage-problem	9	5	1	0.643	0.900	0.750
rosetta_v06_01393_Stream-merge_stream-merge	10	15	1	0.400	0.909	0.556
rosetta_v06_00327_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-5	9	9	1	0.500	0.900	0.643
rosetta_v06_01285_Sierpinski-triangle_sierpinski-triangle-2	7	10	1	0.412	0.875	0.560
rosetta_v06_00313_Count-in-factors_count-in-factors	10	23	1	0.303	0.909	0.455
rosetta_v06_00224_Casting-out-nines_casting-out-nines	9	10	1	0.474	0.900	0.621
rosetta_v06_01010_Pangram-checker_pangram-checker-2	10	14	1	0.417	0.909	0.571
rosetta_v06_01043_Percolation-Bond-percolation_percolation-bond-percolation	14	60	1	0.189	0.933	0.315
rosetta_v06_00283_Compile-time-calculation_compile-time-calculation-2	9	5	1	0.643	0.900	0.750
rosetta_v06_01519_URL-decoding_url-decoding	10	19	1	0.345	0.909	0.500
rosetta_v06_01197_Repeat_repeat	11	6	1	0.647	0.917	0.759
rosetta_v06_01103_Prime-decomposition_prime-decomposition-3	11	59	1	0.157	0.917	0.268
rosetta_v06_01600_Write-to-Windows-event-log_write-to-windows-event-log	9	6	1	0.600	0.900	0.720
rosetta_v06_00505_File-input-output_file-input-output-1	9	5	1	0.643	0.900	0.750
rosetta_v06_01617_Yin-and-yang_yin-and-yang	10	5	1	0.667	0.909	0.769
rosetta_v06_00542_FizzBuzz_fizzbuzz-4	9	12	1	0.429	0.900	0.581
rosetta_v06_00292_Concurrent-computing_concurrent-computing-1	12	14	1	0.462	0.923	0.615
rosetta_v06_00939_N-queens-problem_n-queens-problem-2	10	221	1	0.043	0.909	0.083
rosetta_v06_00810_Loops-Foreach_loops-foreach-2	9	6	1	0.600	0.900	0.720
rosetta_v06_01022_Parsing-RPN-calculator-algorithm_parsing-rpn-calculator-algorithm-1	11	38	3	0.224	0.786	0.349
rosetta_v06_01342_Sorting-algorithms-Pancake-sort_sorting-algorithms-pancake-sort-2	7	5	0	0.583	1.000	0.737
rosetta_v06_00435_Environment-variables_environment-variables	9	6	1	0.600	0.900	0.720
rosetta_v06_00644_Harmonic-series_harmonic-series	10	21	1	0.323	0.909	0.476
rosetta_v06_01470_Terminal-control-Unicode-output_terminal-control-unicode-output	7	7	1	0.500	0.875	0.636
rosetta_v06_01161_Random-number-generator-device-_random-number-generator-device--2	9	4	1	0.692	0.900	0.783
rosetta_v06_00432_Entropy-Narcissist_entropy-narcissist-1	11	12	1	0.478	0.917	0.629
rosetta_v06_00548_Flipping-bits-game_flipping-bits-game	16	74	1	0.178	0.941	0.299
rosetta_v06_00821_Loops-Nested_loops-nested-2	9	11	1	0.450	0.900	0.600
rosetta_v06_00646_Hash-from-two-arrays_hash-from-two-arrays	18	34	1	0.346	0.947	0.507
rosetta_v06_00114_Atomic-updates_atomic-updates-1	13	39	1	0.250	0.929	0.394
rosetta_v06_00664_Higher-order-functions_higher-order-functions-1	7	3	0	0.700	1.000	0.824
rosetta_v06_01402_String-length_string-length-3	9	4	1	0.692	0.900	0.783
rosetta_v06_01140_Pythagorean-triples_pythagorean-triples-1	9	17	1	0.346	0.900	0.500
rosetta_v06_01409_Strip-a-set-of-characters-from-a-string_strip-a-set-of-characters-from-a-string-2	10	12	1	0.455	0.909	0.606
rosetta_v06_01310_Smith-numbers_smith-numbers	14	44	1	0.241	0.933	0.384
rosetta_v06_00552_Floyds-triangle_floyds-triangle	10	11	1	0.476	0.909	0.625
rosetta_v06_00777_Levenshtein-distance_levenshtein-distance-2	12	26	1	0.316	0.923	0.471
rosetta_v06_00946_Naming-conventions_naming-conventions-3	6	3	0	0.667	1.000	0.800
rosetta_v06_01493_Tokenize-a-string-with-escaping_tokenize-a-string-with-escaping	11	21	1	0.344	0.917	0.500
rosetta_v06_01247_Search-in-paragraphs-text_search-in-paragraphs-text	11	14	1	0.440	0.917	0.595
rosetta_v06_00146_Binary-search_binary-search	9	10	1	0.474	0.900	0.621
rosetta_v06_01327_Sorting-algorithms-Bogosort_sorting-algorithms-bogosort	12	23	1	0.343	0.923	0.500
rosetta_v06_01437_Sum-to-100_sum-to-100-2	11	316	1	0.034	0.917	0.065
rosetta_v06_01372_Stack_stack-2	12	8	1	0.600	0.923	0.727
rosetta_v06_00758_Lah-numbers_lah-numbers	11	41	1	0.212	0.917	0.344
rosetta_v06_00333_Create-an-object-at-a-given-address_create-an-object-at-a-given-address-1	9	5	1	0.643	0.900	0.750
rosetta_v06_00747_Knapsack-problem-Unbounded_knapsack-problem-unbounded	8	15	1	0.348	0.889	0.500
rosetta_v06_01576_Water-collected-between-towers_water-collected-between-towers	11	55	1	0.167	0.917	0.282
rosetta_v06_00206_CUSIP_cusip	10	67	1	0.130	0.909	0.227
rosetta_v06_00466_Exponentiation-order_exponentiation-order	9	4	1	0.692	0.900	0.783
rosetta_v06_00093_Arithmetic-numbers_arithmetic-numbers	10	35	1	0.222	0.909	0.357
rosetta_v06_01442_Superpermutation-minimisation_superpermutation-minimisation	12	51	1	0.190	0.923	0.316
rosetta_v06_00393_Dot-product_dot-product	10	15	1	0.400	0.909	0.556
rosetta_v06_01266_Set-consolidation_set-consolidation-1	11	17	1	0.393	0.917	0.550
rosetta_v06_01287_Sierpinski-triangle-Graphical_sierpinski-triangle-graphical	13	38	1	0.255	0.929	0.400
rosetta_v06_00600_Golden-ratio-Convergence_golden-ratio-convergence	7	7	1	0.500	0.875	0.636
rosetta_v06_01130_Pseudo-random-numbers-Middle-square-method_pseudo-random-numbers-middle-square-method	10	11	1	0.476	0.909	0.625
rosetta_v06_01098_Pragmatic-directives_pragmatic-directives	9	6	1	0.600	0.900	0.720
rosetta_v06_00940_N-queens-problem_n-queens-problem-4	10	24	1	0.294	0.909	0.444
rosetta_v06_01494_Tonelli-Shanks-algorithm_tonelli-shanks-algorithm-2	11	33	1	0.250	0.917	0.393
rosetta_v06_00088_Arithmetic-Rational_arithmetic-rational	14	82	6	0.146	0.700	0.241
rosetta_v06_00735_Kaprekar-numbers_kaprekar-numbers-1	11	89	1	0.110	0.917	0.196
rosetta_v06_00778_Levenshtein-distance-Alignment_levenshtein-distance-alignment	10	22	1	0.312	0.909	0.465
rosetta_v06_00189_Box-the-compass_box-the-compass	9	5	1	0.643	0.900	0.750
rosetta_v06_01615_Y-combinator_y-combinator	16	14	1	0.533	0.941	0.681
rosetta_v06_01563_Verify-distribution-uniformity-Chi-squared-test_verify-distribution-uniformity-chi-squared-test-1	10	21	0	0.323	1.000	0.488
rosetta_v06_00440_Ethiopian-multiplication_ethiopian-multiplication	13	11	1	0.542	0.929	0.684
rosetta_v06_00318_Count-the-coins_count-the-coins-1	10	67	3	0.130	0.769	0.222
rosetta_v06_01590_Word-wheel_word-wheel	13	16	1	0.448	0.929	0.605
rosetta_v06_00696_Increment-a-numerical-string_increment-a-numerical-string	11	25	1	0.306	0.917	0.458
rosetta_v06_00865_Maximum-triangle-path-sum_maximum-triangle-path-sum	9	9	1	0.500	0.900	0.643
rosetta_v06_00326_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-4	9	18	1	0.333	0.900	0.486
rosetta_v06_01554_Variables_variables-1	6	3	0	0.667	1.000	0.800
rosetta_v06_00013_21-game_21-game	12	16	1	0.429	0.923	0.585
rosetta_v06_00919_Multiplication-tables_multiplication-tables	9	9	1	0.500	0.900	0.643
rosetta_v06_01436_Sum-to-100_sum-to-100-1	15	150	1	0.091	0.938	0.166
rosetta_v06_01330_Sorting-algorithms-Cocktail-sort_sorting-algorithms-cocktail-sort-3	13	80	1	0.140	0.929	0.243
rosetta_v06_01466_Terminal-control-Inverse-video_terminal-control-inverse-video	9	6	1	0.600	0.900	0.720
rosetta_v06_01034_Pascals-triangle-Puzzle_pascals-triangle-puzzle-2	11	38	1	0.224	0.917	0.361
rosetta_v06_00061_Anagrams_anagrams-1	12	53	1	0.185	0.923	0.308
rosetta_v06_00864_Matrix-transposition_matrix-transposition-2	11	30	1	0.268	0.917	0.415
rosetta_v06_01209_Rock-paper-scissors_rock-paper-scissors-1	10	9	1	0.526	0.909	0.667
rosetta_v06_01516_Two-bullet-roulette_two-bullet-roulette	10	31	1	0.244	0.909	0.385
rosetta_v06_01385_Stem-and-leaf-plot_stem-and-leaf-plot-1	11	14	1	0.440	0.917	0.595
rosetta_v06_00209_Calculating-the-value-of-e_calculating-the-value-of-e-1	9	10	1	0.474	0.900	0.621
rosetta_v06_01508_Trigonometric-functions_trigonometric-functions	9	6	1	0.600	0.900	0.720
rosetta_v06_00285_Compiler-code-generator_compiler-code-generator	26	99	2	0.208	0.929	0.340
rosetta_v06_00501_Fibonacci-word_fibonacci-word	13	18	1	0.419	0.929	0.578
rosetta_v06_01518_UPC_upc	13	64	1	0.169	0.929	0.286
rosetta_v06_01309_Smarandache-prime-digital-sequence_smarandache-prime-digital-sequence	11	71	1	0.134	0.917	0.234
