file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	1	1	21	0.500	0.045	0.083
rosetta_v06_00120_Averages-Median_averages-median-1	1	1	11	0.500	0.083	0.143
rosetta_v06_00014_24-game_24-game	11	10	15	0.524	0.423	0.468
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	2	3	10	0.400	0.167	0.235
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	3	4	11	0.429	0.214	0.286
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	4	3	9	0.571	0.308	0.400
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	3	1	8	0.750	0.273	0.400
rosetta_v06_00043_Ackermann-function_ackermann-function-1	3	3	8	0.500	0.273	0.353
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	3	7	21	0.300	0.125	0.176
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	4	4	10	0.500	0.286	0.364
rosetta_v06_00924_Munching-squares_munching-squares	2	1	9	0.667	0.182	0.286
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	6	3	9	0.667	0.400	0.500
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	5	4	10	0.556	0.333	0.417
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	2	2	8	0.500	0.200	0.286
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	2	1	8	0.667	0.200	0.308
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	5	7	10	0.417	0.333	0.370
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	2	0	8	1.000	0.200	0.333
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	2	1	11	0.667	0.154	0.250
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	4	4	10	0.500	0.286	0.364
rosetta_v06_00866_Mayan-numerals_mayan-numerals	3	2	10	0.600	0.231	0.333
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	1	2	10	0.333	0.091	0.143
rosetta_v06_01498_Topological-sort_topological-sort-1	6	7	8	0.462	0.429	0.444
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	2	3	9	0.400	0.182	0.250
rosetta_v06_00262_Combinations_combinations-2	3	2	8	0.600	0.273	0.375
rosetta_v06_00257_Colorful-numbers_colorful-numbers	2	5	10	0.286	0.167	0.211
rosetta_v06_00141_Best-shuffle_best-shuffle-1	3	3	13	0.500	0.188	0.273
rosetta_v06_00995_Ordered-words_ordered-words-3	2	2	10	0.500	0.167	0.250
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	3	3	8	0.500	0.273	0.353
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	3	2	8	0.600	0.273	0.375
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	3	1	6	0.750	0.333	0.462
rosetta_v06_00629_Guess-the-number_guess-the-number	2	2	8	0.500	0.200	0.286
rosetta_v06_00039_Accumulator-factory_accumulator-factory	1	2	10	0.333	0.091	0.143
rosetta_v06_00001_100-doors_100-doors-1	2	1	8	0.667	0.200	0.308
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	6	4	10	0.600	0.375	0.462
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	1	1	9	0.500	0.100	0.167
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	4	1	8	0.800	0.333	0.471
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	1	1	10	0.500	0.091	0.154
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	2	1	8	0.667	0.200	0.308
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	9	5	19	0.643	0.321	0.429
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	1	1	9	0.500	0.100	0.167
rosetta_v06_00611_Gotchas_gotchas-8	1	1	6	0.500	0.143	0.222
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	5	2	10	0.714	0.333	0.455
rosetta_v06_00217_Call-an-object-method_call-an-object-method	2	2	9	0.500	0.182	0.267
rosetta_v06_01039_Pells-equation_pells-equation	4	1	9	0.800	0.308	0.444
rosetta_v06_00365_Descending-primes_descending-primes	2	1	9	0.667	0.182	0.286
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	2	1	8	0.667	0.200	0.308
rosetta_v06_00006_100-prisoners_100-prisoners	3	9	11	0.250	0.214	0.231
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	4	1	7	0.800	0.364	0.500
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	7	6	10	0.538	0.412	0.467
rosetta_v06_01312_Sockets_sockets	2	2	8	0.500	0.200	0.286
rosetta_v06_01396_String-comparison_string-comparison-2	3	2	9	0.600	0.250	0.353
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	1	1	9	0.500	0.100	0.167
rosetta_v06_01477_Text-processing-2_text-processing-2	1	1	11	0.500	0.083	0.143
rosetta_v06_00023_A+B_a+b-3	2	1	8	0.667	0.200	0.308
rosetta_v06_01133_Pseudo-random-numbers-Xorshift-star_pseudo-random-numbers-xorshift-star	2	2	11	0.500	0.154	0.235
rosetta_v06_00958_Non-continuous-subsequences_non-continuous-subsequences-3	3	4	9	0.429	0.250	0.316
rosetta_v06_01220_Rosetta-Code-Rank-languages-by-popularity_rosetta-code-rank-languages-by-popularity-1	5	4	9	0.556	0.357	0.435
rosetta_v06_00781_List-rooted-trees_list-rooted-trees	6	2	9	0.750	0.400	0.522
rosetta_v06_00788_Logistic-curve-fitting-in-epidemiology_logistic-curve-fitting-in-epidemiology	5	2	8	0.714	0.385	0.500
rosetta_v06_00130_Babbage-problem_babbage-problem	2	1	8	0.667	0.200	0.308
rosetta_v06_01393_Stream-merge_stream-merge	2	2	9	0.500	0.182	0.267
rosetta_v06_00327_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-5	1	1	9	0.500	0.100	0.167
rosetta_v06_01285_Sierpinski-triangle_sierpinski-triangle-2	2	1	6	0.667	0.250	0.364
rosetta_v06_00313_Count-in-factors_count-in-factors	2	6	9	0.250	0.182	0.211
rosetta_v06_00224_Casting-out-nines_casting-out-nines	2	2	8	0.500	0.200	0.286
rosetta_v06_01010_Pangram-checker_pangram-checker-2	2	1	9	0.667	0.182	0.286
rosetta_v06_01043_Percolation-Bond-percolation_percolation-bond-percolation	8	4	7	0.667	0.533	0.593
rosetta_v06_00283_Compile-time-calculation_compile-time-calculation-2	2	1	8	0.667	0.200	0.308
rosetta_v06_01519_URL-decoding_url-decoding	3	2	8	0.600	0.273	0.375
rosetta_v06_01197_Repeat_repeat	3	1	9	0.750	0.250	0.375
rosetta_v06_01103_Prime-decomposition_prime-decomposition-3	5	2	7	0.714	0.417	0.526
rosetta_v06_01600_Write-to-Windows-event-log_write-to-windows-event-log	2	1	8	0.667	0.200	0.308
rosetta_v06_00505_File-input-output_file-input-output-1	2	1	8	0.667	0.200	0.308
rosetta_v06_01617_Yin-and-yang_yin-and-yang	1	2	10	0.333	0.091	0.143
rosetta_v06_00542_FizzBuzz_fizzbuzz-4	2	2	8	0.500	0.200	0.286
rosetta_v06_00292_Concurrent-computing_concurrent-computing-1	1	1	12	0.500	0.077	0.133
rosetta_v06_00939_N-queens-problem_n-queens-problem-2	2	3	9	0.400	0.182	0.250
rosetta_v06_00810_Loops-Foreach_loops-foreach-2	2	1	8	0.667	0.200	0.308
rosetta_v06_01022_Parsing-RPN-calculator-algorithm_parsing-rpn-calculator-algorithm-1	2	3	12	0.400	0.143	0.211
