file	TP	FP	FN	P	R	F1
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	6	14	16	0.300	0.273	0.286
rosetta_v06_00120_Averages-Median_averages-median-1	9	11	3	0.450	0.750	0.563
rosetta_v06_00014_24-game_24-game	19	109	7	0.148	0.731	0.247
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	9	63	3	0.125	0.750	0.214
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	10	23	4	0.303	0.714	0.426
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	10	61	3	0.141	0.769	0.238
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	7	10	4	0.412	0.636	0.500
rosetta_v06_00043_Ackermann-function_ackermann-function-1	7	58	4	0.108	0.636	0.184
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	12	167	12	0.067	0.500	0.118
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	11	49	3	0.183	0.786	0.297
rosetta_v06_00924_Munching-squares_munching-squares	8	19	3	0.296	0.727	0.421
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	12	96	3	0.111	0.800	0.195
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	11	41	4	0.212	0.733	0.328
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	7	14	3	0.333	0.700	0.452
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	7	12	3	0.368	0.700	0.483
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	11	172	4	0.060	0.733	0.111
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	7	7	3	0.500	0.700	0.583
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	10	33	3	0.233	0.769	0.357
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	10	111	4	0.083	0.714	0.148
rosetta_v06_00866_Mayan-numerals_mayan-numerals	10	27	3	0.270	0.769	0.400
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	8	15	3	0.348	0.727	0.471
rosetta_v06_01498_Topological-sort_topological-sort-1	11	101	3	0.098	0.786	0.175
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	8	28	3	0.222	0.727	0.340
rosetta_v06_00262_Combinations_combinations-2	8	29	3	0.216	0.727	0.333
rosetta_v06_00257_Colorful-numbers_colorful-numbers	8	63	4	0.113	0.667	0.193
rosetta_v06_00141_Best-shuffle_best-shuffle-1	10	74	6	0.119	0.625	0.200
rosetta_v06_00995_Ordered-words_ordered-words-3	9	29	3	0.237	0.750	0.360
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	8	39	3	0.170	0.727	0.276
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	8	13	3	0.381	0.727	0.500
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	7	13	2	0.350	0.778	0.483
rosetta_v06_00629_Guess-the-number_guess-the-number	7	14	3	0.333	0.700	0.452
rosetta_v06_00039_Accumulator-factory_accumulator-factory	8	10	3	0.444	0.727	0.552
rosetta_v06_00001_100-doors_100-doors-1	7	12	3	0.368	0.700	0.483
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	12	48	4	0.200	0.750	0.316
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	7	8	3	0.467	0.700	0.560
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	9	54	3	0.143	0.750	0.240
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	8	18	3	0.308	0.727	0.432
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	7	8	3	0.467	0.700	0.560
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	21	63	7	0.250	0.750	0.375
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	7	18	3	0.280	0.700	0.400
rosetta_v06_00611_Gotchas_gotchas-8	6	10	1	0.375	0.857	0.522
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	12	53	3	0.185	0.800	0.300
rosetta_v06_00217_Call-an-object-method_call-an-object-method	7	14	4	0.333	0.636	0.437
rosetta_v06_01039_Pells-equation_pells-equation	10	19	3	0.345	0.769	0.476
rosetta_v06_00365_Descending-primes_descending-primes	8	27	3	0.229	0.727	0.348
rosetta_v06_00539_FizzBuzz_fizzbuzz-9	7	13	3	0.350	0.700	0.467
rosetta_v06_00006_100-prisoners_100-prisoners	11	69	3	0.138	0.786	0.234
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1	8	15	3	0.348	0.727	0.471
rosetta_v06_01623_Zhang-Suen-thinning-algorithm_zhang-suen-thinning-algorithm	13	61	4	0.176	0.765	0.286
rosetta_v06_01312_Sockets_sockets	7	14	3	0.333	0.700	0.452
rosetta_v06_01396_String-comparison_string-comparison-2	9	10	3	0.474	0.750	0.581
rosetta_v06_00234_Check-output-device-is-a-terminal_check-output-device-is-a-terminal	7	9	3	0.438	0.700	0.538
rosetta_v06_01477_Text-processing-2_text-processing-2	7	44	5	0.137	0.583	0.222
rosetta_v06_00023_A+B_a+b-3	7	8	3	0.467	0.700	0.560
rosetta_v06_01133_Pseudo-random-numbers-Xorshift-star_pseudo-random-numbers-xorshift-star	7	12	6	0.368	0.538	0.438
rosetta_v06_00958_Non-continuous-subsequences_non-continuous-subsequences-3	9	38	3	0.191	0.750	0.305
rosetta_v06_01220_Rosetta-Code-Rank-languages-by-popularity_rosetta-code-rank-languages-by-popularity-1	11	19	3	0.367	0.786	0.500
rosetta_v06_00781_List-rooted-trees_list-rooted-trees	12	41	3	0.226	0.800	0.353
rosetta_v06_00788_Logistic-curve-fitting-in-epidemiology_logistic-curve-fitting-in-epidemiology	10	24	3	0.294	0.769	0.426
rosetta_v06_00130_Babbage-problem_babbage-problem	7	9	3	0.438	0.700	0.538
rosetta_v06_01393_Stream-merge_stream-merge	8	23	3	0.258	0.727	0.381
rosetta_v06_00327_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-5	7	11	3	0.389	0.700	0.500
rosetta_v06_01285_Sierpinski-triangle_sierpinski-triangle-2	6	22	2	0.214	0.750	0.333
rosetta_v06_00313_Count-in-factors_count-in-factors	8	32	3	0.200	0.727	0.314
rosetta_v06_00224_Casting-out-nines_casting-out-nines	7	11	3	0.389	0.700	0.500
rosetta_v06_01010_Pangram-checker_pangram-checker-2	8	15	3	0.348	0.727	0.471
rosetta_v06_01043_Percolation-Bond-percolation_percolation-bond-percolation	12	68	3	0.150	0.800	0.253
rosetta_v06_00283_Compile-time-calculation_compile-time-calculation-2	7	7	3	0.500	0.700	0.583
rosetta_v06_01519_URL-decoding_url-decoding	8	30	3	0.211	0.727	0.327
rosetta_v06_01197_Repeat_repeat	8	14	4	0.364	0.667	0.471
rosetta_v06_01103_Prime-decomposition_prime-decomposition-3	9	63	3	0.125	0.750	0.214
rosetta_v06_01600_Write-to-Windows-event-log_write-to-windows-event-log	7	9	3	0.438	0.700	0.538
rosetta_v06_00505_File-input-output_file-input-output-1	7	13	3	0.350	0.700	0.467
rosetta_v06_01617_Yin-and-yang_yin-and-yang	8	8	3	0.500	0.727	0.593
rosetta_v06_00542_FizzBuzz_fizzbuzz-4	7	19	3	0.269	0.700	0.389
