file	TP	FP	FN	P	R	F1	mean_err	median_err
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	8	0	14	1.000	0.364	0.533	0.0	0.0
rosetta_v06_00120_Averages-Median_averages-median-1	11	0	1	1.000	0.917	0.957	0.0	0.0
rosetta_v06_00014_24-game_24-game	21	3	5	0.875	0.808	0.840	0.0	0.0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	2	1	0.846	0.917	0.880	0.0	0.0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	12	0	2	1.000	0.857	0.923	0.0	0.0
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	2	1	0.857	0.923	0.889	0.0	0.0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	10	0	1	1.000	0.909	0.952	0.0	0.0
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	1	1	0.909	0.909	0.909	0.0	0.0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	15	4	9	0.789	0.625	0.698	0.1	0.0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	2	1	0.867	0.929	0.897	0.3	0.0
rosetta_v06_00924_Munching-squares_munching-squares	10	0	1	1.000	0.909	0.952	0.0	0.0
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	2	1	0.875	0.933	0.903	0.0	0.0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	13	2	2	0.867	0.867	0.867	0.0	0.0
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	8	1	2	0.889	0.800	0.842	1.0	0.0
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	8	0	2	1.000	0.800	0.889	1.0	0.0
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	13	1	2	0.929	0.867	0.897	0.0	0.0
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	8	0	2	1.000	0.800	0.889	1.0	0.0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	11	1	2	0.917	0.846	0.880	0.0	0.0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	1	1	0.929	0.929	0.929	0.0	0.0
rosetta_v06_00866_Mayan-numerals_mayan-numerals	11	2	2	0.846	0.846	0.846	0.0	0.0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	9	0	2	1.000	0.818	0.900	0.4	0.0
rosetta_v06_01498_Topological-sort_topological-sort-1	13	0	1	1.000	0.929	0.963	0.4	0.0
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	10	0	1	1.000	0.909	0.952	0.0	0.0
rosetta_v06_00262_Combinations_combinations-2	10	1	1	0.909	0.909	0.909	0.0	0.0
rosetta_v06_00257_Colorful-numbers_colorful-numbers	11	1	1	0.917	0.917	0.917	0.0	0.0
rosetta_v06_00141_Best-shuffle_best-shuffle-1	12	1	4	0.923	0.750	0.828	0.0	0.0
rosetta_v06_00995_Ordered-words_ordered-words-3	10	1	2	0.909	0.833	0.870	0.0	0.0
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	10	0	1	1.000	0.909	0.952	0.0	0.0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	10	0	1	1.000	0.909	0.952	0.0	0.0
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	8	0	1	1.000	0.889	0.941	0.0	0.0
