file	TP	FP	FN	P	R	F1	mean_err	median_err
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	22	4	0	0.846	1.000	0.917	0.0	0.0
rosetta_v06_00120_Averages-Median_averages-median-1	11	1	1	0.917	0.917	0.917	0.0	0.0
rosetta_v06_00014_24-game_24-game	22	49	4	0.310	0.846	0.454	0.0	0.0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	11	29	1	0.275	0.917	0.423	0.0	0.0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	13	5	1	0.722	0.929	0.813	0.0	0.0
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	12	27	1	0.308	0.923	0.462	0.0	0.0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	9	1	2	0.900	0.818	0.857	0.0	0.0
rosetta_v06_00043_Ackermann-function_ackermann-function-1	10	26	1	0.278	0.909	0.426	0.0	0.0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	20	88	4	0.185	0.833	0.303	0.8	0.0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	13	21	1	0.382	0.929	0.542	0.6	0.0
rosetta_v06_00924_Munching-squares_munching-squares	10	9	1	0.526	0.909	0.667	0.0	0.0
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	14	71	1	0.165	0.933	0.280	0.0	0.0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	14	21	1	0.400	0.933	0.560	0.0	0.0
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	8	7	2	0.533	0.800	0.640	1.0	0.0
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	8	4	2	0.667	0.800	0.727	1.0	0.0
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	14	58	1	0.194	0.933	0.322	0.0	0.0
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	8	1	2	0.889	0.800	0.842	1.0	0.0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	12	11	1	0.522	0.923	0.667	0.0	0.0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	13	63	1	0.171	0.929	0.289	0.0	0.0
rosetta_v06_00866_Mayan-numerals_mayan-numerals	12	19	1	0.387	0.923	0.545	0.0	0.0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	9	4	2	0.692	0.818	0.750	0.4	0.0
rosetta_v06_01498_Topological-sort_topological-sort-1	13	40	1	0.245	0.929	0.388	0.0	0.0
