file	TP	FP	FN	P	R	F1
hello	6	1	4	0.857	0.600	0.706
mathlib	5	3	3	0.625	0.625	0.625
rosetta_v06_00001_100-doors_100-doors-1	6	1	4	0.857	0.600	0.706
rosetta_v06_00014_24-game_24-game	16	20	10	0.444	0.615	0.516
rosetta_v06_00039_Accumulator-factory_accumulator-factory	4	1	7	0.800	0.364	0.500
rosetta_v06_00043_Ackermann-function_ackermann-function-1	6	9	5	0.400	0.545	0.462
rosetta_v06_00064_Angles-geometric-normalization-and-conversion_angles-geometric-normalization-and-conversion	4	1	18	0.800	0.182	0.296
rosetta_v06_00118_Averages-Mean-angle_averages-mean-angle	5	1	4	0.833	0.556	0.667
rosetta_v06_00120_Averages-Median_averages-median-1	8	2	4	0.800	0.667	0.727
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1	10	5	4	0.667	0.714	0.690
rosetta_v06_00141_Best-shuffle_best-shuffle-1	9	6	7	0.600	0.562	0.581
rosetta_v06_00217_Call-an-object-method_call-an-object-method	5	2	6	0.714	0.455	0.556
rosetta_v06_00257_Colorful-numbers_colorful-numbers	7	10	5	0.412	0.583	0.483
rosetta_v06_00262_Combinations_combinations-2	7	4	4	0.636	0.636	0.636
rosetta_v06_00330_Create-a-two-dimensional-array-at-runtime_create-a-two-dimensional-array-at-runtime-1	6	1	4	0.857	0.600	0.706
rosetta_v06_00365_Descending-primes_descending-primes	6	6	5	0.500	0.545	0.522
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem	7	4	6	0.636	0.538	0.583
rosetta_v06_00471_Extensible-prime-generator_extensible-prime-generator-1	9	13	4	0.409	0.692	0.514
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation	7	1	4	0.875	0.636	0.737
rosetta_v06_00611_Gotchas_gotchas-8	4	1	3	0.800	0.571	0.667
rosetta_v06_00629_Guess-the-number_guess-the-number	6	3	4	0.667	0.600	0.632
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire	6	1	4	0.857	0.600	0.706
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers	9	11	15	0.450	0.375	0.409
rosetta_v06_00764_Last-Friday-of-each-month_last-friday-of-each-month	6	1	4	0.857	0.600	0.706
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1	8	3	4	0.727	0.667	0.696
rosetta_v06_00866_Mayan-numerals_mayan-numerals	7	4	6	0.636	0.538	0.583
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick	10	2	5	0.833	0.667	0.741
rosetta_v06_00924_Munching-squares_munching-squares	7	3	4	0.700	0.636	0.667
rosetta_v06_00973_Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors_numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors	7	5	4	0.583	0.636	0.609
rosetta_v06_00995_Ordered-words_ordered-words-3	6	3	6	0.667	0.500	0.571
rosetta_v06_01039_Pells-equation_pells-equation	9	6	4	0.600	0.692	0.643
rosetta_v06_01059_Permutations-Derangements_permutations-derangements	11	12	4	0.478	0.733	0.579
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4	10	7	6	0.588	0.625	0.606
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2	5	2	6	0.714	0.455	0.556
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1	9	4	5	0.692	0.643	0.667
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels	6	4	5	0.600	0.545	0.571
rosetta_v06_01280_Sierpinski-carpet_sierpinski-carpet-3	11	8	4	0.579	0.733	0.647
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence	9	23	5	0.281	0.643	0.391
rosetta_v06_01449_Take-notes-on-the-command-line_take-notes-on-the-command-line	6	3	4	0.667	0.600	0.632
rosetta_v06_01480_Text-processing-Max-licenses-in-use_text-processing-max-licenses-in-use-2	5	1	6	0.833	0.455	0.588
rosetta_v06_01489_Tic-tac-toe_tic-tac-toe	9	37	6	0.196	0.600	0.295
rosetta_v06_01498_Topological-sort_topological-sort-1	9	13	5	0.409	0.643	0.500
rosetta_v06_01532_Unprimeable-numbers_unprimeable-numbers	19	9	9	0.679	0.679	0.679
rosetta_v06_01564_Verify-distribution-uniformity-Naive_verify-distribution-uniformity-naive	7	12	4	0.368	0.636	0.467
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage	7	7	5	0.500	0.583	0.538
rosetta_v06_01597_Write-float-arrays-to-a-text-file_write-float-arrays-to-a-text-file-1	6	2	4	0.750	0.600	0.667
rosetta_v06_01599_Write-language-name-in-3D-ASCII_write-language-name-in-3d-ascii	6	1	4	0.857	0.600	0.706
sort	6	2	5	0.750	0.545	0.632
